simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features
47,0.8108228980322003,"1,6,7,9,10",0.8322898032200358,"1,3,6,7,9,10,15,16",0.8416815742397138,"7,9,6,1,10,16,15,12",0.8117173524150268,"7,9,6,1,10",0.8430232558139535,"1,3,6,7,9,10,15,16"
48,0.76,"6,7,9,10,15",0.7609195402298851,"6,7,9,10,15",0.7581609195402299,"7,10,15,9,2,6",0.7554022988505747,"7,10,15,9",0.7852873563218391,"1,2,4,5,6,7,9,10,15"
49,0.7740641711229946,"6,7,9,10,16",0.7816399286987522,"1,6,7,9,10,15,16",0.7834224598930482,"7,9,10,16,6,12,2",0.7736185383244206,"7,9,10,16,6",0.7959001782531194,"1,2,6,7,8,9,10,12,13,15,16"
50,0.8099442379182156,"7,9,10,16",0.8257434944237918,"1,3,4,6,7,9,10,16",0.8145910780669146,"7,16,9,2,15,10",0.7829925650557621,"7,16,9,2",0.8271375464684015,"1,2,3,4,6,7,9,10,15,16"
51,0.8229259589652096,"6,7,9,10,16",0.8264942016057092,"6,7,9,10,15,16",0.8358608385370205,"7,9,16,10,6,2,8,15",0.8229259589652096,"7,9,16,10,6",0.8282783229259589,"6,7,9,10,15,16"
52,0.8293950850661626,"6,7,9,10,16",0.8275047258979206,"3,6,7,9,10,15,16",0.8213610586011342,"7,16,9,10,15,12,6",0.8171077504725898,"7,16,9,10",0.8350661625708885,"3,6,7,9,10,12,15,16"
53,0.7826678765880217,"7,9,10,15,16",0.7835753176043557,"4,6,7,9,10,15,16",0.7853901996370236,"7,9,10,16,15,12",0.7822141560798548,"7,9,10,16,15",0.7844827586206896,"4,5,6,7,9,10,15,16"
54,0.8361188486536676,"6,7,9,10,15,16",0.8347260909935005,"6,7,9,10,15,16",0.8152274837511606,"7,9,16,10,6,15,11,12,13",0.8184772516248839,"7,9,16,10,6,15,11",0.8319405756731661,"1,6,7,8,9,10,11,12,13,14,15,16"
55,0.7553884711779448,"6,7,9,10,15,16",0.7819548872180451,"1,3,6,7,9,10,15,16",0.7804511278195488,"7,9,16,10,1,15,12,6,2,5",0.7699248120300752,"7,9,16,10,1,15,12",0.7869674185463659,"0,1,2,3,5,6,7,9,10,11,12,14,15,16"
56,0.7914201183431953,"1,6,7,9,10,15",0.8022682445759369,"1,6,7,9,10,12,15,16",0.8027613412228797,"7,16,10,6,9,15,1,12",0.8027613412228797,"7,16,10,6,9,15,1,12",0.7933925049309665,"0,1,2,4,6,7,8,9,10,12,13,14,15,16"
57,0.7858481724461106,"1,6,7,16",0.8303655107778819,"1,6,7,9,10,15,16",0.8209934395501406,"7,16,6,1,8,15,12,9,2",0.7858481724461106,"7,16,6,1",0.8298969072164949,"1,2,6,7,8,9,10,12,15,16"
58,0.8581113801452784,"1,6,7,10,15,16",0.8440677966101695,"1,5,6,7,9,10,15,16",0.8624697336561743,"7,1,15,16,6,10,8",0.8406779661016949,"7,1,15,16,6",0.8523002421307506,"1,5,6,7,9,10,15,16"
59,0.7916880451513597,"6,7,9,10,15,16",0.7922011287839917,"3,6,7,9,10,15,16",0.7922011287839917,"7,16,10,6,2,11,15,9,12",0.7747562852744997,"7,16,10,6,2,11",0.8024628014366342,"3,6,7,9,10,15,16"
60,0.811031175059952,"6,7,10,16",0.8431654676258993,"3,6,7,9,10,15,16",0.8163069544364508,"7,16,10,6,9,13,0",0.8119904076738609,"7,16,10,6",0.8273381294964028,"3,6,7,9,10,16"
61,0.7792565396971087,"1,3,6,7,10",0.8095456631482332,"1,3,6,7,9,10,12,16",0.7934832491968793,"7,10,1,6,12,16,8,3,2,11,15",0.8035796236805874,"7,10,1,6,12,16",0.7980725103258376,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
62,0.8551899907321594,"6,7,10,16",0.8561167747914736,"3,6,7,10,16",0.8725671918443003,"7,16,10,6,8,1",0.8542632066728453,"7,16,10,6",0.8799814643188137,"1,2,3,4,5,6,7,8,9,10,11,12,13,15,16"
63,0.7967691505992704,"6,7,9,10,15,16",0.8082334549244398,"1,3,6,7,9,10,15,16",0.8097967691505993,"6,10,15,7,1,16,12,9",0.7941636268890047,"6,10,15,7,1,16",0.7920792079207921,"1,3,4,6,7,9,10,15,16"
64,0.8179487179487179,"6,7,9,10,15",0.841025641025641,"3,6,7,9,10,15,16",0.8111111111111111,"7,9,10,16,6,1,12,8,15,11",0.8132478632478632,"7,9,10,16",0.8209401709401709,"1,3,5,6,7,8,9,10,11,12,14,15,16"
65,0.8412776412776413,"6,7,9,10,15,16",0.8412776412776413,"6,7,9,10,15,16",0.8466830466830467,"7,9,10,15,16,12,1,6",0.8339066339066339,"7,9,10,15,16",0.857002457002457,"1,4,6,7,8,9,10,11,12,13,15,16"
