simulation,HarderLASSO_QUT_(20)_mse,HarderLASSO_QUT_(20)_features,"HarderLASSO_QUT_(20, 10)_mse","HarderLASSO_QUT_(20, 10)_features","HarderLASSO_QUT_(20, 10, 5)_mse","HarderLASSO_QUT_(20, 10, 5)_features"
128,23.027376809986723,"13,26,28,38",0.33079518654504547,"13,26,28,38",14.119086389395907,"13,26,28,38"
129,23.472104390506974,"0,5,7,25",0.02884510307815838,"0,5,7,25",0.009792458656919426,"0,5,7,25"
130,21.18343152363557,"1,11,14,49",0.026350406344781634,"1,11,14,49",0.01619088737004582,"1,11,14,49"
131,22.405305765961113,"1,25,42,46",0.04974248610587146,"1,25,42,46",0.021494283563719244,"1,25,42,46"
132,22.18343708554286,"7,11,15,24",0.02868049265862972,"7,11,15,24",0.016091885390966076,"7,11,15,24"
133,22.00728415971035,"24,28,29,33",0.006551970475474733,"24,28,29,33",60.55706950339895,
134,23.704646869287245,"9,20,23,26",0.05401593449629806,"9,20,23,26",0.012352552321705675,"9,20,23,26"
135,22.128138456451946,"11,33,36,45",0.018420055206524424,"11,33,36,45",51.171412277625144,
136,23.32241329138027,"9,21,42,46",0.010276253963133366,"9,21,42,46",40.792022587931086,"9,21,42,46"
137,13.72952875114468,"3,11,40,41",0.0069649397473196305,"3,11,40,41",0.007307393586468692,"3,11,40,41"
138,21.98874789406322,"0,31,32,45",0.027370947590211095,"0,31,32,45",0.010117561690142484,"0,31,32,45"
139,24.350671425964517,"0,13,23,46",0.02149277206316675,"0,13,23,46",54.34349403918252,"23,46"
140,22.87831040967757,"7,16,27,39",0.7277669445457022,"7,16,27,39",0.015130323699785547,"7,16,27,39"
141,23.211372143689207,"6,7,9,21",0.030986078693098135,"6,7,9,21",0.01429670816700593,"6,7,9,21"
142,22.057536383672893,"1,32,48,49",0.045950779022017836,"1,32,48,49",59.12106282039676,
143,15.214156435851946,"20,32,37,48",0.009904998105381993,"20,32,37,48",0.010646807344664925,"20,32,37,48"
144,14.478586736790529,"16,18,23,38",0.011133502374513334,"16,18,23,38",0.016837576464874947,"16,18,23,38"
145,22.081715788937526,"0,5,15,23",0.013439080620410238,"0,5,15,23",0.0066928570225901676,"0,5,15,23"
146,22.701362011306305,"1,13,28,48",0.021034300166531655,"1,13,28,48",0.008490687705248788,"1,13,28,48"
147,23.25434947855248,"7,42,47,49",0.019406041195471128,"7,42,47,49",0.008540108390394454,"7,42,47,49"
148,21.234577111022578,"18,19,39,48",0.030746411073634686,"18,19,39,48",0.01052967278856488,"18,19,39,48"
149,20.762088024052538,"0,6,44,48",0.4555429268927588,"0,6,44,48",0.0066654693861152685,"0,6,44,48"
150,21.972155992699502,"10,14,32,42",0.028359977606500775,"10,14,32,42",51.07257759556111,"10,14"
151,23.866744984592682,"11,21,33,38",0.01372792341551486,"11,21,33,38",0.008690184433243884,"11,21,33,38"
152,22.70937046282026,"5,33,39,42",0.020553588332357906,"5,33,39,42",0.00797312919178957,"5,33,39,42"
153,21.12018000817112,"2,39,44,49",0.018283883487618623,"2,39,44,49",0.013709603983415036,"2,39,44,49"
154,22.485487237598566,"4,5,33,45",0.031958264209925966,"4,5,33,45",0.009562036921123106,"4,5,33,45"
155,23.00262677068709,"7,9,20,35",0.038236695570709196,"7,9,20,35",41.4738122910786,"7,9,20,35"
156,15.78625979225853,"16,30,39,49",0.02141482226054027,"16,30,39,49",0.02301791536350991,"16,30,39,49"
157,23.386332719378885,"5,25,42,46",0.042984955201780195,"5,25,42,46",0.01694037513961056,"5,25,42,46"
158,23.737108775202856,"7,41,45,48",0.03265100895978989,"7,41,45,48",3.2427717540424585,"7,41,45,48"
159,22.000350019778285,"7,30,35,49",0.04571431918738603,"7,30,35,49",0.025553421892877317,"7,30,35,49"
160,23.658428563234278,"4,12,13,40",0.008531201456620277,"4,12,13,40",0.00564982193416981,"4,12,13,40"
161,24.431359554116746,"2,6,15,28",0.022146888799226123,"2,6,15,28",14.939023124186113,"2,6,15,28"
162,15.212062036934492,"6,7,16,40",0.009061469973638667,"6,7,16,40",0.008449710108518827,"6,7,16,40"
163,21.337399612776167,"0,3,21,27",0.03151857391843512,"0,3,21,27",58.867270221653435,
164,22.703881456233308,"0,2,36,44",0.7464554334044552,"0,2,36,44",0.012798919610044722,"0,2,36,44"
165,14.675350470174203,"3,7,13,32",0.025296526201472363,"3,7,13,32",0.0102595854173868,"3,7,13,32"
166,21.783243065444243,"10,22,25,28",0.021438684899612488,"10,22,25,28",58.5934604880744,
167,23.25362572413421,"30,31,40,48",0.01930226378786549,"30,31,40,48",53.64828379476553,"30,31"
168,23.83218539589558,"8,9,20,26",0.02905857567969402,"8,9,20,26",50.42752180047006,"9,26"
169,23.0000124755925,"9,12,21,26",0.030416776740309525,"9,12,21,26",0.01927185851537655,"9,12,21,26"
170,21.004326135894306,"8,18,21,29",0.030507544218672692,"8,18,21,29",0.007037594459623213,"8,18,21,29"
171,25.522123963302285,"9,10,16,49",0.05984002286998968,"9,10,16,49",15.60436063309333,"9,10,16,49"
172,23.896003100394513,"9,27,37,49",0.010790717756042671,"9,27,37,49",52.04067008906983,"37,49"
173,21.818890826156156,"9,20,24,29",0.02994669483706009,"9,20,24,29",59.08893121400707,
174,22.035822951732253,"28,32,36,45",0.01849757758111351,"28,32,36,45",0.013286916892309616,"28,32,36,45"
175,21.52267069580475,"12,16,35,44",0.008067122197288126,"12,16,35,44",0.0074609368958740265,"12,16,35,44"
176,23.34378807097135,"25,29,31,37",0.0229705228204369,"25,29,31,37",0.00899742684327254,"25,29,31,37"
177,23.523786895366197,"7,13,37,44",0.013377849572031048,"7,13,37,44",54.16782298470233,"7,13,37,44"
178,15.839051133946223,"14,19,48,49",0.008025846079791845,"14,19,48,49",24.348161783449417,"14,19,48,49"
179,21.448301632914017,"13,14,20,43",0.015331062302283833,"13,14,20,43",0.01104501708625416,"13,14,20,43"
180,22.676940433039594,"19,38,42,49",0.014312048920603445,"19,38,42,49",0.009478574420157565,"19,38,42,49"
181,0.07044502903436883,"3,34,38,40",0.012508613240423216,"3,34,38,40",0.008121276858263754,"3,34,38,40"
182,22.364003514321638,"7,8,32,36",0.014154256092359803,"7,8,32,36",55.102955654482514,
183,23.783593811846192,"9,29,35,36",0.04923178299032687,"9,29,35,36",0.010693914675213021,"9,29,35,36"
184,23.392027885506693,"0,7,43,44",0.022486307586413505,"0,7,43,44",0.010480658854292052,"0,7,43,44"
185,21.524494542468368,"3,13,34,49",0.013474707978177765,"3,13,34,49",5.354521745803723,"3,13,34,49"
186,22.010989107469833,"21,25,27,38",0.022156512541345836,"21,25,27,38",44.27147398003989,"25,27"
187,21.60623503340564,"9,14,19,44",0.01639158059368188,"9,14,19,44",0.006497965385807313,"9,14,19,44"
188,13.90534256800886,"13,26,27,49",0.012668740788504955,"13,26,27,49",7.695918349936835,"13,26,27,49"
189,22.90733744668574,"4,22,27,43",0.010176341386935525,"4,22,27,43",0.48617045948782844,"4,22,27,43"
190,21.642316579540957,"0,18,27,31",0.028557269083711194,"0,18,27,31",0.036249570893109595,"0,18,27,31"
191,23.936083276287892,"0,30,38,49",0.017508429283339802,"0,30,38,49",38.937522198160096,"0,30,38,49"
192,22.110790403184,"17,21,28,35",0.008506463537160943,"17,21,28,35",54.85421936308105,"28,35"
193,20.65624375329353,"0,20,44,45",0.03300116860047191,"0,20,44,45",39.21293422724518,"0,20,44,45"
194,21.400022902474692,"6,34,36,48",0.03227700488938221,"6,34,36,48",0.011976767181887954,"6,34,36,48"
195,23.843325503908634,"11,17,29,34",0.03668513276871684,"11,17,29,34",0.018921583165646152,"11,17,29,34"
196,22.81795338209614,"2,10,29,38",0.016414247071540735,"2,10,29,38",0.01164956364320992,"2,10,29,38"
197,23.357275753023075,"10,19,29,31",0.019976193523329782,"10,19,29,31",0.007230690668380951,"10,19,29,31"
198,22.743337958427052,"1,11,39,48",0.02155541855308274,"1,11,39,48",0.012572853637489155,"1,11,39,48"
199,24.270932020934172,"12,13,21,45",0.020926171076452945,"12,13,21,45",53.29797695466725,"12,13,21,45"
200,14.917826106632816,"10,32,38,45",0.04642875375354042,"10,32,38,45",56.91412479788603,
201,23.301897550086665,"1,26,36,40",0.03153535385001235,"1,26,36,40",2.14703627444579,"1,26,36,40"
202,20.732859644454162,"1,14,30,49",0.30705064356350503,"1,14,30,49",0.025725785629029177,"1,14,30,49"
203,23.06522535854172,"0,14,44,49",0.04825418482724304,"0,14,44,49",0.011222476852287066,"0,14,44,49"
204,22.87034236154983,"24,25,44,47",0.04174470389639582,"24,25,44,47",54.3433204615118,
205,24.926703316602683,"1,14,19,39",0.04234864471723255,"1,14,19,39",0.02850744138533114,"1,14,19,39"
206,23.65217952296092,"17,24,25,30",0.021599048277941315,"17,24,25,30",0.021051991524676086,"17,24,25,30"
207,21.02160654751784,"17,18,21,34",0.20036870222086337,"17,18,21,34",20.89926902824817,"17,18,21,34"
208,23.04636966223068,"2,8,9,21",0.5667155522303051,"2,8,9,21",0.012739712682287905,"2,8,9,21"
209,24.223479298942774,"0,23,44,47",0.0509359577275939,"0,23,44,47",0.009043605715772353,"0,23,44,47"
210,21.869022298433975,"0,13,36,45",0.024000444447463493,"0,13,36,45",0.021335669396832905,"0,13,36,45"
211,24.639571007479862,"28,34,43,46",0.0058717263947484135,"28,34,43,46",0.008843278432590277,"28,34,43,46"
212,0.07671207895263499,"9,19,22,41",0.00986108485690155,"9,19,22,41",0.02307267989076614,"9,19,22,41"
213,22.20930347591777,"22,25,37,44",0.017496310897810077,"22,25,37,44",52.75654822290182,"22,44"
214,23.242379555877157,"10,19,44,45",0.032106148008175905,"10,19,44,45",0.015135326781063274,"10,19,44,45"
215,21.366852550186266,"7,15,23,30",0.012387923057218381,"7,15,23,30",0.0134282976259133,"7,15,23,30"
216,15.638524133002871,"11,18,28,41",0.022804556634708775,"11,18,28,41",56.240969849389515,"11,18"
217,23.977705140041962,"14,24,41,42",0.029194856537489485,"14,24,41,42",0.005195545738516872,"14,24,41,42"
