simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
10,0.9263157894736842,"0,1,2,3,4,5,6,7,10,12,13,20,21,22,23,24,25,26,27,28,29",0.9473684210526316,"2,3,7,20,22,27",0.968421052631579,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"7,20,21,27",0.9210526315789472,"7,20",0.9736842105263158,"1,7,10,20,21,22,24,26,27,28",0.9210526315789472,"7,20,27",0.8947368421052632,20
11,0.9578947368421052,"0,1,2,3,4,5,6,7,10,12,13,16,17,20,21,22,23,24,25,26,27,28,29",0.9315789473684212,"1,7,12,13,20,22,23,26,27",0.9526315789473684,"6,7,10,11,13,19,20,21,22,23,24,26,27",0.9526315789473684,"7,20,21,22,27",0.9526315789473684,"23,27",0.968421052631579,"4,6,7,8,10,11,13,14,15,18,19,20,21,22,23,24,26,27,29",0.936842105263158,"7,20,22,27",0.9315789473684212,"20,27"
12,0.9578947368421052,"0,1,2,3,5,6,7,10,12,13,20,21,22,23,24,25,26,27,28,29",0.9578947368421052,"0,1,3,7,10,13,21,22,23,27",0.968421052631579,"0,1,2,3,4,6,7,9,10,12,13,14,18,19,20,21,22,23,24,26,27,28",0.9736842105263158,"7,20,21,27",0.963157894736842,"22,24",0.9789473684210528,"4,5,7,8,10,11,13,14,15,18,19,20,21,22,23,24,26,27,28,29",0.9421052631578948,"7,20,27",0.9473684210526316,"20,27"
13,0.9421052631578948,"0,1,2,3,4,5,6,7,10,12,13,20,21,22,23,24,25,26,27,28,29",0.9473684210526316,"1,7,21,22,23,24,26,27",0.9842105263157894,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"7,20,21,27",0.9315789473684212,"20,27",0.963157894736842,"7,10,20,21,23,24,26,27,28",0.9315789473684212,"7,20,27",0.9315789473684212,"20,27"
14,0.968421052631579,"0,1,2,3,4,5,6,7,10,12,13,16,19,20,21,22,23,24,25,26,27,28,29",0.9473684210526316,"1,7,13,21,22,23,27",0.963157894736842,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.968421052631579,"7,20,21,22,27",0.9421052631578948,"22,27",0.9526315789473684,"1,7,10,19,20,21,22,24,26,27,28",0.963157894736842,"20,22,27",0.9315789473684212,22
15,0.9842105263157894,"0,1,2,3,5,6,7,10,12,13,16,20,21,22,23,24,25,26,27,28,29",0.968421052631579,"2,5,7,20,21,22,23,26,27",0.9789473684210528,"1,2,6,7,10,13,14,19,20,21,22,23,24,26,27,28",0.9842105263157894,"7,20,21,22,27",0.9578947368421052,"20,27",0.9894736842105264,"1,7,10,19,20,21,22,24,26,27,28",0.963157894736842,"20,22,27",0.9210526315789472,22
16,0.9578947368421052,"0,1,2,3,4,5,6,7,10,12,13,16,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"1,7,17,20,21,22,25,26,27",0.968421052631579,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.968421052631579,"7,20,21,27",0.963157894736842,"7,20,21",0.968421052631579,"1,7,10,19,20,21,22,24,26,27,28",0.9473684210526316,"7,20,22,27",0.9421052631578948,20
17,0.963157894736842,"0,1,2,3,4,5,6,7,10,12,13,16,20,21,22,23,24,25,26,27,28,29",0.9526315789473684,"3,4,7,20,21,22,23,26,27",0.9842105263157894,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.968421052631579,"7,20,21,27",0.9526315789473684,"20,27",0.9736842105263158,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29",0.9526315789473684,"7,20,27",0.9473684210526316,"20,27"
18,0.9578947368421052,"0,1,2,3,4,5,6,7,10,12,13,16,17,20,21,22,23,24,25,26,27,28,29",0.9526315789473684,"0,1,3,4,7,18,20,21,22,23,27",0.9578947368421052,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"7,20,21,22,27",0.9105263157894736,"22,27",0.9578947368421052,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29",0.9210526315789472,"7,20,22,27",0.8736842105263158,20
19,0.968421052631579,"0,1,2,3,4,5,6,7,10,12,13,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"1,3,7,20,21,22,27",0.9578947368421052,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.968421052631579,"7,20,21,22,27",0.9578947368421052,"7,20,21",0.9736842105263158,"5,6,7,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28",0.9578947368421052,"7,20,22,27",0.9157894736842104,20
20,0.9421052631578948,"0,1,2,3,4,5,6,7,10,12,13,15,16,20,21,22,23,24,25,26,27,28,29",0.9526315789473684,"1,7,16,20,22,23,24,25,26,27",0.9789473684210528,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.968421052631579,"20,21,27",0.9315789473684212,"20,27",0.968421052631579,"1,10,19,20,21,22,24,26,27,28",0.9263157894736842,"20,27",0.8894736842105263,20
21,0.963157894736842,"0,1,2,3,5,6,7,10,12,13,20,21,22,23,24,25,26,27,28,29",0.963157894736842,"1,6,7,20,22,23,26,27",0.9789473684210528,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.9789473684210528,"7,20,21,27",0.9578947368421052,"20,27",0.9736842105263158,"7,10,19,20,21,24,26,27,28",0.9526315789473684,"7,20,27",0.8947368421052632,20
22,0.9473684210526316,"0,1,2,3,4,5,6,7,10,12,13,16,20,21,22,23,24,25,26,27,28,29",0.936842105263158,"0,7,13,17,20,21,22,23,26,27",0.9421052631578948,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.3736842105263158,"7,20,21,22,27,28",0.9263157894736842,"20,27",0.9473684210526316,"1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29",0.9263157894736842,"20,22,27",0.9263157894736842,"20,27"
23,0.968421052631579,"0,1,2,3,4,5,6,7,10,12,13,17,20,21,22,23,24,25,26,27,28,29",0.9526315789473684,"1,7,17,20,22,23,24,26,27",0.9789473684210528,"0,1,2,4,6,7,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,27,28,29",0.9842105263157894,"7,20,21,22,27",0.9315789473684212,"22,27",0.9842105263157894,"1,7,10,19,20,21,22,24,26,27,28",0.9315789473684212,"20,22,27",0.9315789473684212,22
24,0.9578947368421052,"0,1,2,3,4,5,6,7,10,12,13,16,20,21,22,23,24,25,26,27,29",0.968421052631579,"1,7,12,21,22,23,24,26,27",0.9842105263157894,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.968421052631579,"7,20,21,27",0.9315789473684212,"20,27",0.9842105263157894,"1,5,6,7,8,10,11,13,14,15,16,19,20,21,22,23,24,26,27,29",0.9263157894736842,"7,20,22,27",0.9315789473684212,"20,27"
