simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
35,0.9700835899692036,"7,8,9,15,16,17,18,22,34,36,37,39,42,51,53,56,61,64,68,72,83,85,89,90,91,92,94",0.9656841179058512,"8,9,15,18,36,39,51,56,67,68,91",0.9674439067311924,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,89,90,91,92,94",0.9678838539375276,"0,2,18,36,37,53,64,85",0.9678838539375276,"0,36,48,49,64,85",0.9683238011438629,"2,14,15,18,31,33,36,37,42,44,48,50,54,56,58,64,69,75,80,82,83,85",0.968763748350198,"1,36,37,85",0.9674439067311924,"18,36"
36,0.9749230092388912,"8,9,15,16,17,18,22,34,36,37,39,42,56,64,85,87,89,90,91,92,94",0.9709634843818742,"0,6,8,36,39,56,59,67,79,85,89,91",0.9665640123185216,"3,4,5,6,7,9,10,11,13,14,16,17,18,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,75,76,77,78,79,81,82,83,85,86,87,88,89,90,91,92,94",0.9678838539375276,"18,36,37,83,85",0.9678838539375276,"37,85",0.9709634843818742,"0,18,31,36,37,44,48,54,56,58,64,73,75,80,82,83,84,85",0.9692036955565332,"36,37,39,85",0.9696436427628684,18
37,0.9718433787945446,"9,15,16,17,18,22,34,36,37,39,42,56,85,89,90,91,92,94",0.970523537175539,"8,9,34,36,39,56,85,89",0.968763748350198,"2,18,36,37,85",0.9678838539375276,"0,2,18,36,37,53,83,85",0.9678838539375276,"36,85",0.968763748350198,"2,14,15,18,33,36,37,42,44,45,48,50,54,56,58,64,69,73,75,82,83,85",0.968763748350198,"36,37,85",0.9674439067311924,18
38,0.9692036955565332,"1,8,9,15,16,18,22,34,36,37,39,42,53,56,61,64,85,89,90,91,92,94",0.9665640123185216,"0,1,6,8,9,18,34,36,39,40,85",0.9678838539375276,"2,18,36,37,53,83,85",0.9678838539375276,"0,2,18,36,37,64,83,85",0.9678838539375276,"18,37,64,83,85",0.9692036955565332,"0,2,18,36,37,42,44,48,54,56,58,64,69,73,83,84,85,86",0.968763748350198,"36,37,85",0.968763748350198,"18,37"
39,0.9714034315882094,"0,2,8,9,15,16,17,18,22,34,36,37,39,42,53,56,64,85,89,90,91,92,94",0.9639243290805104,"0,8,18,20,39,67,73,89",0.9683238011438629,"0,1,2,34,36,37,39,44,48,53,58,59,67,75,83,85",0.9683238011438629,"0,18,36,37,39,58,64,85",0.9678838539375276,"0,36,58",0.968763748350198,"0,18,36,37,44,45,48,56,58,64,75,80,83,84,85",0.9665640123185216,"36,37,85",0.9692036955565332,18
40,0.9727232732072152,"2,8,9,15,16,17,18,22,34,36,37,39,42,56,64,68,85,89,90,91,92,94",0.9674439067311924,"1,2,8,9,18,36,39,40,56,89,91",0.9683238011438629,"0,1,2,18,34,36,37,44,53,58,75,83,85",0.9678838539375276,"2,18,36,37,53,58,83,85",0.9678838539375276,"36,44,58,85",0.965244170699516,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,21,22,23,24,25,26,27,28,30,31,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,69,70,71,73,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94",0.970523537175539,"36,37,85",0.9678838539375276,"18,37"
41,0.9678838539375276,"8,15,16,17,18,22,34,36,37,39,42,53,56,61,64,85,89,90,91,92,94",0.965244170699516,"0,1,2,3,8,18,34,39,80,85,89",0.9665640123185216,"0,2,4,5,6,7,8,9,10,11,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,89,90,91,92,94",0.9678838539375276,"0,36,37,53,83,85",0.9683238011438629,"36,85",0.968763748350198,"0,1,2,18,36,37,42,44,50,54,56,58,64,69,73,82,83,84,85",0.9678838539375276,"1,36,37,39,85",0.9683238011438629,"37,85"
42,0.97228332600088,"8,9,15,16,17,18,22,34,36,37,39,42,56,61,64,85,87,89,90,91,92,94",0.9683238011438629,"0,16,18,36,39,56,61,67,89,91",0.968763748350198,"0,2,36,37,85",0.9678838539375276,"0,36,37,53,64,85",0.9678838539375276,"18,36",0.9674439067311924,"0,2,18,36,37,44,48,49,54,56,58,64,75,80,82,83,84,85",0.9692036955565332,"36,37,85",0.968763748350198,"18,37"
43,0.9700835899692036,"8,15,16,17,18,22,34,36,37,39,42,51,56,85,89,90,91,92,94",0.9696436427628684,"2,8,9,36,39,74,85,89",0.9692036955565332,"0,1,2,6,10,11,13,18,23,28,29,33,35,36,37,38,44,47,48,49,50,52,55,56,58,59,61,63,67,70,72,73,75,76,78,83,84,85,89,91,92",0.9678838539375276,"36,37,53,58,64,85",0.9678838539375276,"36,58,85",0.970523537175539,"18,36,37,43,44,45,48,54,56,58,64,80,82,84,85",0.9683238011438629,"36,37,85",0.9692036955565332,"37,85"
44,0.9670039595248572,"1,8,15,16,17,18,22,34,36,37,39,42,51,53,56,64,68,85,89,91,92,94",0.9617245930488342,"0,8,18,22,36,39,42,67,89",0.9674439067311924,"0,1,2,18,36,37,53,75,85,89",0.9621645402551694,"0,2,18,36,37,53,83,85",0.9608446986361636,"36,83,85",0.9656841179058512,"1,2,18,36,37,44,48,49,53,58,75,80,83,85",0.9630444346678398,"1,36,37,83,85",0.9639243290805104,"18,37"
