simulation,LassoNet_c_index,LassoNet_features,GBoost_c_index,GBoost_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
38,0.646993746993747,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,22,23,24,25,27,28,30,31,32,33,34,35,36,37,38,42,44,47,48,49",0.725481707834649,"2,5,9,12,15,22,23,27,28,32,36,42,48",0.5,,0.5,
39,0.5713387276143728,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7111643721798264,"0,1,8,10,14,17,19,31,32,44,46,48",0.5,,0.5,
40,0.591162108072048,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7092221480987325,"4,6,7,8,12,13,17,18,29,32,33,37,43",0.5,,0.5,
41,0.680136471093918,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7261524822695036,"0,3,5,9,10,12,17,30,34,38,40,45,48,49",0.5,,0.5,
42,0.6489790136198976,"0,1,2,3,6,7,8,10,12,13,14,15,17,18,20,21,23,24,25,26,27,30,31,32,33,34,36,37,38,39,41,42,43,44,46,48,49",0.7186937142047639,"0,1,3,7,8,9,12,13,14,17,20,23,36,41,43",0.5,,0.5,
43,0.6395232773865966,"1,4,5,6,7,8,10,11,12,13,14,15,17,18,19,20,22,23,25,27,30,32,35,40,41,42,44,47,49",0.7259997721626108,"1,3,9,15,17,19,35,41,44,46,47,48",0.5,,0.5,
44,0.6376217284260377,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49",0.7728232631320339,"0,1,6,7,11,16,17,23,25,32,34,36,37,42",0.5,,0.5,
45,0.6124073078847534,"0,1,2,3,4,6,7,9,11,12,13,14,15,17,18,19,20,21,24,25,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,49",0.7509431364814457,"0,2,7,14,17,18,20,28,29,31,36,38,39,42,45",0.5,,0.5,
46,0.6193427776386005,"0,2,4,9,11,19,20,24,27,28,31,34,36,38,43,48",0.6824210931796816,"0,9,11,14,19,20,27,28,36,38,42,45,48",0.5,,0.5,
47,0.6067836605350603,"0,1,2,3,4,5,6,7,10,11,13,14,15,16,18,19,20,21,22,23,24,25,28,30,31,32,33,34,35,37,38,40,41,42,43,44,46,47,48,49",0.6952247081026476,"0,1,19,21,24,26,31,40,41,43,45",0.5,,0.5,
48,0.6555139640705231,"0,1,2,3,4,7,8,9,10,11,12,13,15,16,18,19,20,22,23,25,26,31,34,36,37,38,39,41,43,44,45,46,48,49",0.7307126059307293,"0,1,2,7,13,15,17,20,23,25,32,37,38,41,45,46,49",0.5,,0.5,
49,0.5793400570669831,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7135604712263751,"0,5,6,7,14,15,17,18,19,23,24,26,38,42,44,47",0.5,,0.5,
50,0.645383601905341,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,16,18,19,20,23,24,25,28,29,30,31,33,36,37,38,40,42,43,45,47,48",0.7453304627217671,"7,13,14,20,28,33,37,42,43,45,48",0.5,,0.5,
51,0.6323497564980032,"1,2,4,5,6,7,8,9,10,12,14,16,17,18,19,20,21,22,24,25,26,27,28,29,30,32,33,34,35,36,37,40,41,42,43,45,46,47,48",0.6840379027099984,"2,6,8,17,21,22,24,32,42,43,48",0.5,,0.5,
52,0.6438478158178003,"2,3,4,6,8,9,10,11,12,14,18,19,21,23,24,25,26,27,29,30,31,32,33,37,40,41,44,45,48,49",0.7146830528731359,"2,9,11,23,27,31,32,33,45,47,48,49",0.5,,0.5,
53,0.6674176590494583,"3,4,5,7,8,9,12,14,15,17,18,19,23,24,25,27,30,31,34,36,38,42,44,48",0.7413477699927652,"3,4,5,7,8,9,14,19,24,25,27,34",0.5,,0.5,
54,0.6262891045499741,"1,2,3,4,11,12,13,14,15,17,22,23,26,28,30,31,33,34,35,37,39,40,42,43,45,49",0.741464176246785,"0,2,4,10,12,13,17,31,33,35,39,45,49",0.5,,0.5,
55,0.6223435272358298,"3,4,6,8,10,16,17,18,19,21,22,23,25,26,27,28,29,31,32,36,40,42,45,46",0.741675122339674,"1,3,8,10,15,16,23,31,33,35,37,38,43,49",0.5,,0.5,
56,0.6317849686847599,"0,2,4,9,12,13,14,15,16,17,21,24,25,26,28,29,30,32,37,42,49",0.7034954950005494,"0,2,3,4,9,10,16,28,36,42,47,49",0.5,,0.5,
57,0.634401773066328,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.725483123983963,"0,7,8,16,21,24,25,27,36,39,42,45",0.5,,0.5,
58,0.6736003653556845,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,28,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,46,47,48,49",0.734939823769611,"4,12,13,14,15,26,30,31,32,35,42,44,45",0.5,,0.5,
59,0.5844118215182538,"0,5,7,8,9,10,12,13,16,18,19,20,21,24,25,27,28,32,33,34,36,37,38,39,42,43,44,46,47",0.7209358165389651,"3,7,12,14,16,24,26,28,29,33,34,43",0.5,,0.5084763269160604,43
60,0.5936176049254778,"1,8,9,11,12,17,18,19,20,22,23,27,28,32,33,34,35,36,39,41,43,45,46,47,48",0.7315093696574387,"1,10,21,22,23,25,26,27,30,34,39,44,47,49",0.5,,0.5,
61,0.6877698873825407,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49",0.7068072591636181,"6,15,16,19,21,27,29,30,38,43,44,46,47",0.5,,0.5,
62,0.6161214422083987,"5,7,8,9,10,14,17,19,20,22,23,24,27,29,30,31,32,34,35,43,47,48",0.6860816426033818,"1,2,3,4,7,10,24,28,29,31,32,33,45,47,48",0.5,,0.5679209157470027,"29,48"
63,0.6767455448437043,"1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,26,27,29,32,34,35,36,37,38,40,41,42,45,46,47,48,49",0.7395956660567574,"2,3,6,10,16,17,18,20,21,23,29,32,40,41,48",0.5,,0.5,
64,0.6884994540512495,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7136724668881438,"0,3,5,6,12,13,20,23,38,40,41,42,45,49",0.5,,0.5,
65,0.6237808951235805,"0,1,2,4,9,12,13,14,15,17,18,19,20,21,22,23,25,26,28,29,30,31,32,37,40,42,43,45,46,47,48,49",0.7171957247828992,"1,12,18,29,30,31,32,38,43,45,46,49",0.5,,0.5,
66,0.6242429217066006,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49",0.6963540850514502,"2,6,9,13,18,21,26,32,35,39,42,44,45",0.5,,0.5,
67,0.6492762101222822,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,34,35,36,37,38,39,40,42,43,44,45,46,48,49",0.6817685001308518,"2,8,21,25,30,34,35,36,39,42,46,48",0.5,,0.5,
68,0.601877480241438,"0,1,3,4,5,7,8,9,12,13,15,16,17,18,20,21,22,23,25,28,29,30,34,35,36,39,41,42,43,44,45,47,48,49",0.690640944409244,"6,9,10,12,17,18,23,29,34,39,43,45,46,47,49",0.5,,0.5,
69,0.6634258619406556,"1,2,3,4,5,6,7,8,9,10,12,13,15,16,17,18,19,20,21,22,23,25,27,28,29,31,32,34,35,36,37,38,39,40,41,44,45,46,47,48,49",0.6977705956772733,"4,7,8,10,12,13,17,23,27,28,29,38,46",0.5,,0.5,
70,0.608807338458297,"2,3,5,6,7,8,9,12,16,17,18,20,23,27,28,29,30,31,32,33,34,35,36,39,40,41,42,43,44,45,46,47,48",0.7346750798186995,"1,2,9,12,15,17,21,27,28,30,33,38,39,43",0.5,,0.5,
71,0.625028296965581,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49",0.7290577848643222,"0,2,3,6,9,14,18,32,38,42,43,44",0.5,,0.5,
72,0.6084804942883828,"0,1,4,8,9,11,12,13,14,15,18,19,22,23,24,28,32,33,34,39,45,46",0.7171362885264746,"0,1,3,14,27,28,30,31,37,46,48",0.5,,0.5552870177455277,"14,46"
73,0.6070890601808682,"2,3,5,7,12,15,19,20,21,22,24,26,27,28,32,33,35,36,40,42,43,44,46,48",0.7172983441570981,"1,4,6,11,12,19,20,24,28,35,40,43,44,45,49",0.5,,0.5,
74,0.6233655642237117,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7345731238325459,"1,3,5,16,20,32,37,38,41,42,45,47,49",0.5,,0.5,
