simulation,LASSO_CV_c_index,LASSO_CV_features,AIC_Cox_c_index,AIC_Cox_features,BIC_Cox_c_index,BIC_Cox_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
185,0.9481449998557032,"2,6,10,13,21,26,32,47,49,53,58,59,63,64,74,76",0.9268179421186434,"2,74,6,10,49,58,64,47,76,26,90,53,59,78,34,73,25,55,21,45,71,79,72,37,22,33,87,5,44,23,89,51,18,39,63,95",0.942362636065264,"2,74,6,10,49,58,64,47,76,26,90,53,59,78",0.9064957143869093,"2,6,10,47,58,64,74",0.9379786388357615,"2,6,10,47,49,58,64,74"
186,0.9340764543305251,"6,9,10,12,13,19,25,26,29,32,38,40,53,54,56,57,60,66,76,84,89,93,95",0.8673051735428946,"19,12,76,56,53,57,60,6,93,89,54,38,37,40,84,95,32,23,85,25,2,71,50,9,27,74,11,26,41,70,52,18,98,83,55,48,39,14,31,45,46,63,87,77",0.9438025151787597,"19,12,76,56,53,57,60,6,93,89,54,38",0.8416275404304441,"12,19,56,76",0.9184537089452011,"12,19,53,56,57,60,76"
187,0.9157769775422899,"2,15,30,31,43,48,50,62,63,74,78,79,80,81,82,87,90,92,95,96,99",0.9027885739063302,"92,31,95,87,80,62,63,50,15,7,1,22,79,38,96,26,43,45,2,37,97,21,91,82,34,41,78,57,94,42,47,71,59,54,46,30,61,10,84,5,64,85,67,77,3",0.9386762271893226,"92,31,95,87,80,62,63,50,15,7,1",0.7680039765005737,"31,92,95",0.9032129278571844,"31,62,63,80,87,92,95"
188,0.9314337967533624,"0,5,10,18,19,20,22,27,29,31,54,57,61,63,64,67,68,70,71,78,82,83,90,95,97",0.9011509972432173,"61,71,57,97,95,22,68,0,18,19,69,41,3,32,70,30,74,48,5,78,26,4,37,56,89,11,12,85,86,17,24,51",0.9208166766471911,"61,71,57,97,95,22,68,0,18,19,69,41,3,32,70,30,74,48,5",0.8623469877698113,"57,61,71,95,97",0.9312638580931264,"0,22,57,61,68,71,95,97"
189,0.9403873890614354,"2,4,8,9,15,20,27,29,32,36,39,40,42,54,55,59,65,68,69,70,74,77,82,85,86,92,97",0.8828468111338224,"39,42,15,97,70,74,82,55,8,92,20,43,4,85,64,44,46,67,54,83,88,69,29,9,0,28,90,40,77,10,3,53,86,21,78,61,47,16,76,2,48,6,19,14,7,23,25,33,26,62,36,50,34",0.9268166789071464,"39,42,15,97,70,74,82,55,8,92,20,43,4,85,64,44,46,67",0.7621778025536885,"39,42",0.8922601824568855,"15,39,42,70,97"
190,0.906646243527969,"2,13,23,25,38,40,45,50,55,57,73,81",0.8688416283091386,"57,45,25,2,55,23,50,73,13,56,63,1,66,37,40,54,75,74,53,59,65,27,42,71,87,14,38,94,17,44,88,46,72,20,82,68,22,16,69,12,3",0.9148770763096723,"57,45,25,2,55,23,50,73,13,56,63,1,66,37",0.857153486558188,"2,25,45,55,57",0.8719602621140514,"2,23,25,45,55,57"
191,0.9253034547152195,"0,1,4,7,14,22,23,26,27,31,36,39,44,46,50,54,56,59,63,64,72,73,85,95,98",0.9053165544824895,"31,23,0,44,1,73,56,14,95,63,85,37,22,87,36,27,28,96,92,39,77,46,26,3,54,61,19,64,32,81,62,99,67,86,88,71,11",0.924982928494781,"31,23,0,44,1,73,56,14,95,63,85,37,22,87",0.8750282202433212,"0,1,23,31,44",0.9180930083476176,"0,1,14,23,31,44,56,73"
192,0.9306377207646644,"0,3,5,7,10,11,12,13,14,16,17,19,20,24,25,26,27,29,32,34,35,38,41,42,55,57,59,61,63,66,67,70,72,75,76,77,82,86,87,88,89,91,92,95,96,98,99",0.9200603548519245,"14,70,55,42,26,35,25,98,61,41,5,84,7,11,67,29,24,27,57,10,34,50,2,15,19,13,53,97,71,40,33",0.9341719909722169,"14,70,55,42,26,35,25,98,61,41,5,84,7",0.7981191270428921,"14,55,70",0.9372838789951375,"14,25,26,35,42,55,61,70,98"
193,0.9491026054743559,"2,4,8,12,14,27,28,34,38,39,44,45,46,50,52,59,62,64,65,68,80,87,91",0.9271878664809174,"59,27,64,12,50,2,65,38,91,67,46,16,28,11,34,45,4,44,94,68,84,51,21,98,60,55,73,24,39,58,35,56,14,71",0.9384272705091576,"59,27,64,12,50,2,65,38,91,67,46,16,28,11,34,45,4,44",0.8102812736941801,"27,50,59,64",0.9241392699634535,"2,12,27,50,59,64,65"
194,0.9375867971000376,"5,17,24,32,35,44,46,55,59,69,73,74,77,85,88,89,91,95,97",0.8794275218123374,"35,59,88,46,74,69,17,73,24,32,91,1,37,62,72,20,77,92,89,42,44,53,31,64,70,55,14,43,18,30,95,4,10,28,54,51,25,33,45,50,52,71,60,68,78,49,19,16,12,13,36,83,99",0.9370134839903705,"35,59,88,46,74,69,17,73,24,32,91,1,37,62",0.8268121286336502,"35,46,59,88",0.9055285752055996,"35,46,59,69,74,88"
195,0.9495374376753195,"0,3,4,11,12,18,23,26,38,41,42,50,57,58,59,61,69,71,82,90,92,95,96",0.9080019397342778,"23,82,18,92,59,50,4,90,38,3,58,52,71,96,44,26,87,33,55,17,62,8,0,89,14,53,40,2,19,7,72,21,79,84,61",0.9419419312144505,"23,82,18,92,59,50,4,90,38,3,58,52,71,96",0.8072831127912615,"4,18,23,82",0.9496633596519195,"4,18,23,38,50,59,82,90,92"
196,0.9311715834286679,"7,10,17,19,22,33,40,46,72,76,86",0.8836253204982224,"22,46,10,17,76,40,19,72,86,7,1,21,98,82,50,26,89,70,93,80,52,4,49,91,57,84,59,99,3,30,37,34,8,51,94,63,97,14,32,92,5,20,25,33,48,58,42,39,87",0.9297810833040855,"22,46,10,17,76,40,19,72,86,7,1,21",0.8849475012525218,"10,17,22,46,76",0.9034526734307309,"10,17,19,22,40,46,76"
197,0.9446572766538794,"8,10,11,14,18,24,38,42,46,47,57,59,62,64,68,76,82,84",0.9338720946239016,"10,38,46,14,59,57,42,24,11,21,68,3,1,89,58,77,34,60,35,22,93,64,15,86,50,17,20,88,30,47,74,7",0.9455948927195801,"10,38,46,14,59,57,42,24,11,21,68,3,1,89,58",0.8717751591479901,"10,14,38,46,57",0.938200452445204,"10,14,24,38,42,46,57,59"
198,0.9258649702675353,"14,16,19,24,32,47,51,52,61,78,89,92,93",0.888625484644859,"47,93,92,14,61,52,89,32,16,19,7,63,38,23,91,95,34,87,54,72,80,5,85,13,71,48,64,82,76,21,78,51,88,97,44,70,27,15,66,43,99,67,39,33,55,36,9,30,98",0.9400660595104092,"47,93,92,14,61,52,89,32,16,19,7",0.8327619924730816,"14,47,92,93",0.9301031256040295,"14,32,47,52,61,89,92,93"
199,0.9408431642919156,"1,4,8,13,17,20,23,24,25,27,28,29,37,43,44,52,56,59,68,73,77,84,92,95,99",0.9116171288493948,"99,77,73,37,25,44,68,8,1,20,95,90,83,11,84,46,13,69,79,27,57,42,98,28,2,93,85,92,63,59,49,21,81,35",0.935973647924008,"99,77,73,37,25,44,68,8,1,20,95,90,83,11,84,46",0.8567948521525969,"37,73,77,99",0.9417062458505694,"1,8,25,37,44,68,73,77,99"
