simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
36,363.2411056095866,"4,5,6,15,17,22,24,27,29,30,31,32,47,48,49",615.3475863871001,"24,27,31",248.4964176958412,"0,1,4,5,6,7,8,9,10,11,12,15,16,17,18,21,22,23,24,25,26,27,28,29,30,31,32,35,36,37,38,40,42,44,46,47,48,49",534.0699391864467,,9.817267912619691,"4,5,6,10,15,17,22,24,27,29,30,31,32,47,48,49"
37,386.9656656994928,"2,4,10,14,16,17,22,23,24,28,30,32,37,41",470.0494907822433,"24,28,30,32,41",135.58068557712045,"0,1,2,3,4,6,7,8,10,11,14,16,17,18,19,20,22,23,24,25,28,29,30,32,33,34,35,37,38,39,41,42,45,48,49",504.95785387647834,,55.766662371118414,"2,3,4,6,10,16,17,19,20,22,23,24,28,30,32,41,48"
38,351.7146713315578,"3,8,12,13,16,17,28,29,38,42,44,47,49",492.3973369848779,"29,38,44,49",180.03468336309157,"0,1,3,4,5,8,9,10,11,12,13,14,16,17,18,20,21,24,27,28,29,30,31,32,35,38,39,40,41,42,44,45,47,48,49",518.0014156036664,,14.612185608790494,"3,8,12,13,16,17,27,28,29,38,42,44,47,49"
39,349.2422447084914,"5,11,12,16,23,28,35,38,44,48,49",514.2381757425102,"35,38,44,48,49",221.98623873002975,"0,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,23,24,26,27,28,29,30,31,35,37,38,39,40,41,42,44,45,46,47,48,49",501.7311463370931,,16.880732495958217,"3,5,8,11,12,16,23,28,31,35,38,44,48,49"
40,371.8963724391825,"0,6,8,11,17,28,29,33,39,43,44,49",519.9935189151029,"11,39,44,49",184.99054991445425,"0,2,3,5,6,8,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,28,29,30,31,32,33,34,35,37,38,39,41,42,43,44,45,46,47,49",528.932431283765,,104.62241666084876,"0,6,8,11,15,17,29,33,39,43,44,49"
41,374.3864144078617,"1,3,7,17,21,27,29,36,38,41,42,46,49",517.4317441624107,"38,41,46,49",165.99249597133468,"1,2,3,4,6,7,8,9,11,12,17,18,19,21,22,23,25,26,27,29,30,34,35,36,38,39,40,41,42,43,44,45,46,47,49",521.0843330319996,,8.477169205303605,"1,3,7,17,21,27,29,30,36,38,40,41,42,46,49"
42,367.75564593702114,"10,17,19,21,29,30,31,34,37,39,42,47,49",506.0384089374668,"19,30,31,39,42,47,49",426.3549872844289,"0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49",528.7274595158959,,159.07384193418184,"17,19,21,25,29,30,31,34,37,47"
43,406.6026779607275,"12,16,18,21,28,30,38,42",602.0512013732159,42,184.6282072413618,"0,1,2,3,5,6,7,8,9,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,38,40,42,43,45,48,49",527.5147562001285,,94.65696129445736,"8,12,16,17,18,20,21,28,29,30,38,42"
44,400.2549125897383,"2,7,8,21,23,25,30,37,38,39,46",581.6937849021233,"39,46",203.13621459310977,"1,2,3,5,6,7,8,9,10,11,12,13,16,17,18,19,21,22,23,24,25,26,27,30,31,32,33,34,35,36,37,38,39,40,41,42,43,46,49",541.011330424038,,7.036885825151687,"2,7,8,21,22,23,25,27,30,33,37,38,39,46"
45,373.2451714927184,"0,5,11,13,18,22,32,37,42,43,47",593.7338451658134,"42,43,47",234.24391033592943,"0,1,2,3,5,7,8,9,10,11,13,14,16,17,18,19,20,22,23,24,25,29,31,32,33,34,36,39,41,42,43,44,45,46,47,48,49",531.9281498627042,,13.392537157392573,"0,2,5,11,13,18,20,22,32,34,42,43,47,49"
46,362.1493650693455,"1,2,4,11,18,19,20,22,26,28,29,37,42,45",478.9058473357955,"20,29,37,42,45",230.01749208159123,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,37,38,42,43,44,45,46,47,48,49",506.97492979309646,,164.8296952900381,"1,2,4,18,19,20,22,26,28,29,37,42"
