simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
34,0.7636961285609934,"1,3,4,6",0.7766009252495739,"1,3,4,6,8",0.7671049427806185,"1,3,4,6",0.7756269783296811,"1,3,4,6,8",0.77781835889944,"1,4,3,6,8,12,13",0.7845142439737034,"1,4,3,6,8,12",0.7797662527392257,"0,1,2,3,4,6,7,8,9,11,12,13",0.7835402970538106,"1,3,4,6,8,11,12",0.7727051375700025,
35,0.7499699338544799,"1,3,4,8",0.7427540589296452,"1,3,4,8,11",0.7342152736019242,"1,4",0.7391461214672279,"1,3,4,8,11",0.7498496692723993,"1,4,3,8,12,11,7,6",0.745640408899579,"1,4,3,8,12,11",0.7527360192423331,"1,3,4,6,7,8,10,11,12",0.7550210463018641,"1,3,4,6,7,8,10,11,12",0.7414311485267588,
36,0.7289216912684513,"1,4,8,12",0.7366775081310983,"1,3,4,8,12",0.7120340255191393,"1,4,8,12",0.7006504878658995,"1,3,4,8,12",0.7398048536402302,"1,4,8,12,6,7,3,2",0.7312984738553916,"1,4,8,12,6,7",0.7381786339754816,"1,2,3,4,6,7,8,12,13",0.7385539154365774,"1,2,3,4,6,7,8,12",0.7370527895921941,
37,0.7301977158295468,"1,3,4",0.7245486921282083,"1,3,4,6",0.7301977158295468,"1,3,4",0.7222768021613656,"1,3,4,6",0.7418641778214418,"1,4,3,12,6,8,2",0.7440746653567482,"1,4,3,12,6,8",0.7330222276802162,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0.740022104875353,"0,1,2,3,4,6,8,10,11,12",0.7273732039788776,
38,0.7397470748138518,"1,4,6,8,12",0.7475475712090769,"1,3,4,6,8,12",0.7297600756411772,"1,4,6,8",0.7379742347240279,"1,3,4,6,8,12",0.726037111452547,"1,4,8,6,7,12,3,9",0.7334830398298073,"1,4,8,6,7,12,3",0.7315920104006619,"1,3,4,5,6,7,8,9,10,11,12",0.729819170310838,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.7204822125044321,
39,0.7529967308390846,"1,4,8",0.7625620535173749,"1,3,4,8",0.7474270492795738,"1,4,8",0.7537837510594503,"1,3,4,6,8",0.7822980990434677,"1,8,4,6,12,3,10",0.7801186584332244,"1,8,4,6,12",0.767889575009081,"1,3,4,6,8,12",0.7714008959922509,"1,3,4,6,8,12",0.7843564596198087,
40,0.7760175625964163,"1,4,8,12",0.7795182152604723,"1,3,4,8,12",0.764625608164234,"1,4,12",0.7786282188204581,"1,3,4,8,12",0.7853328586685653,"1,4,12,8,6,3,11,7",0.7858075234365729,"1,4,12,8,6,3",0.7802302124124837,"1,3,4,6,8,10,11,12",0.7802302124124837,"1,3,4,6,8,10,11,12",0.7835528657885369,
41,0.7439759036144579,"1,4,12",0.7489156626506024,"1,3,4,6,12",0.7400602409638555,"1,4",0.748132530120482,"1,3,4,6,12",0.7713253012048192,"1,4,12,3,8,6,11,7",0.7680722891566265,"1,4,12,3,8,6",0.7610843373493976,"1,3,4,6,8,11,12",0.7602409638554217,"1,3,4,6,8,11,12",0.7644578313253012,
42,0.7670494908832584,"0,1,4",0.7685886810324414,"0,1,4",0.7868813639592707,"1,4",0.7698910726971347,"0,1,4",0.80712763438314,"1,4,0,6,12,8,7,3",0.7679966848212172,"1,4,0",0.806298839687426,"0,1,3,4,5,6,7,8,11,12",0.8091404215013024,"0,1,3,4,5,6,7,8,11,12",0.8033388586313047,
43,0.7628965851295714,"1,3,4,8",0.7628965851295714,"1,3,4,8",0.7635020586098329,"1,3,4,8",0.7492734318236861,"1,3,4,8",0.7791232744005813,"1,4,3,8,6,12",0.7791232744005813,"1,4,3,8,6,12",0.7813029789295229,"1,3,4,6,8,11,12",0.7811818842334706,"1,3,4,6,8,11,12",0.7704044562848147,
44,0.7509007926975738,"1,3,4,8",0.7517415325486428,"1,3,4,8",0.7541436464088398,"1,3,4",0.7472375690607734,"1,3,4,8",0.7755224597645929,"1,4,3,8,12,6",0.7696372808071102,"1,4,3,8,12",0.7710785491232285,"1,3,4,6,8,12",0.759548402594283,"1,3,4,8",0.7708383377372088,
45,0.7541544477028348,"1,4,8,12",0.7777370478983382,"1,3,4,8,12",0.7548875855327468,"1,4,8,12",0.7767595307917888,"1,3,4,8,12",0.783724340175953,"1,4,8,12,6,7,3",0.783724340175953,"1,4,8,12,6,7,3",0.7816471163245357,"1,3,4,6,7,8,11,12",0.780425219941349,"1,3,4,6,7,8,11,12",0.7805474095796676,
46,0.75320474421948,"1,3,4,8",0.7617107942973523,"1,3,4,6,8",0.746256139930514,"1,4",0.754582484725051,"1,3,4,8",0.7783634838864263,"1,4,3,8,6,12,7",0.7794417155864383,"1,4,3,8,6,12",0.7595543308973284,"1,3,4,6,8",0.7716544866419073,"1,3,4,6,7,8,12",0.7806397508086738,
47,0.7133427628477134,"1,4,8,10",0.7261904761904762,"1,3,4,6,8,10,11",0.7264262140499764,"1,4",0.7171145685997171,"1,3,4,8,10,11",0.7412776991984913,"1,4,10,12,8,6,3,7,11",0.7395096652522395,"1,4,10,12,8,6",0.7389203206034889,"1,2,3,4,6,7,8,10,11,12",0.7375058934464875,"1,3,4,6,8,10,11,12",0.741984912776992,
48,0.7643991467172315,"1,4,6,12",0.7869163308840957,"1,3,4,6,8,12",0.7652879829343446,"1,4,6,12",0.7720431381844038,"1,3,4,6,12",0.7707987674804456,"1,4,12,11,6,8,2,3",0.7689025835506044,"1,4,12,11,6,8",0.7771983882436596,"0,1,2,3,4,6,7,8,9,10,11,12,13",0.7715098364541361,"1,2,3,4,6,8,11,12",0.7782649917041953,
49,0.7389638817949653,"1,4,8",0.7548340021889821,"1,3,4,8",0.7298431229478293,"1,4,8",0.7546515870120394,"1,3,4,8",0.7633467104463091,"1,4,8,3,12,10,6,7",0.7595767967894929,"1,4,8,3,12,10",0.7583606956098747,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0.7572662045482184,"0,1,2,3,4,6,7,8,9,10,11,12",0.7571445944302566,
50,0.7692582450291702,"1,4,6,8",0.766877009167758,"1,3,4,6,8",0.7620550065483986,"1,4,8",0.7667579473746875,"1,3,4,6,8",0.7774735087510418,"1,4,8,6,3,12,7",0.77711632337183,"1,4,8,6,3,12",0.7784260030956066,"1,3,4,6,7,8,9,11,12",0.7764019526134064,"1,2,3,4,6,7,8,9,11,12",0.7744969639242767,
51,0.7451735092864125,"1,4,6",0.7605083088954057,"1,3,4,6,12",0.7377199413489736,"1,4,6",0.7439516129032258,"1,3,4,6,12",0.7749266862170088,"1,4,3,12,6,8",0.7749266862170088,"1,4,3,12,6,8",0.7671065493646139,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0.7683284457478006,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.7668621700879765,
52,0.7524822695035461,"1,4,8",0.759692671394799,"1,3,4,8",0.7497635933806147,"1,4,8",0.7596335697399527,"1,3,4,8",0.7835697399527187,"1,4,8,12,3,11",0.7801418439716312,"1,4,8,12,3",0.7543735224586289,"1,3,4,8",0.7508274231678487,"1,3,4,8",0.791371158392435,
53,0.7164623259135817,"1,4,8,12",0.7205094631591478,"1,3,4,8,12",0.7135460064278062,"1,4,8,12",0.7187834781573622,"1,3,4,8,12",0.7163432924651827,"1,4,12,8,3,11,7",0.7209855969527437,"1,4,12,8,3",0.7184858945363647,"1,2,3,4,6,7,8,10,11,12",0.7142006903940007,"1,3,4,8,11,12",0.7207475300559457,
54,0.7732994432340837,"1,3,4",0.7728152989590898,"1,3,4",0.7598644396030017,"1,4",0.7627693052529654,"1,3,4",0.7896393125151295,"1,4,3,12,11,2,8,6",0.7734204793028322,"1,4,3",0.7883079157588961,"0,1,2,3,4,6,8,11,12",0.7877027354151537,"1,2,3,4,6,8,11,12",0.7884289518276446,
55,0.7631454845555293,"1,4",0.7734024994105164,"1,3,4",0.7638528648903561,"1,4",0.7736972412166941,"1,3,4",0.7910870077811837,"1,4,12,11,3,13,8,7",0.78224475359585,"1,4,12,11,3",0.7871964159396369,"0,1,2,3,4,6,7,8,10,11,12,13",0.7914406979485971,"0,1,3,4,6,7,8,10,11,12,13",0.7886111766092903,
