simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
84,0.6922828007578822,"2,3,7,9,10,13,29,42,50",0.6920606873452125,"2,3,7,9,10,13,29,42,50",0.6961534640467218,"2,3,13,42",0.6928419872408973,"2,3,7,9,10,13,29,42,50",0.6966583640247235,"2,42,13,7,9,10,46,52,68,29,3,49,45,0,50,31,30,35,67,53,64,39,11,19,34,27,60,40,12,41,6,54,56,36,5",0.6928015384724558,"2,42,13,7,9,10,46,52,68,29,3",0.7007777517581022,"0,2,3,5,6,7,9,10,11,12,13,14,17,19,21,23,28,29,30,31,34,35,38,39,40,41,42,43,45,46,47,49,50,52,53,54,55,56,60,64,66,67,68,69",0.7015377628282914,"0,1,2,3,5,6,7,8,9,10,11,13,14,17,18,19,21,23,29,30,31,35,38,39,40,41,42,45,46,49,50,52,53,54,58,60,63,64,67,68",,
85,0.6992889601635102,"2,3,7,9,13,29,42,45,47,49",0.6991523714420584,"2,3,7,9,13,29,42,45,47,49",0.6969340432172376,"2,13,42",0.6989825201822221,"2,3,7,9,13,29,42,45,47,49",0.6968480560169454,"2,42,13,7,29,9,47,45,46,68,0,50,31,67,48,35,39,12,40,60,53,43,66,30,3,18,34,64,63,16,20,54",0.6986024779883383,"2,42,13,7,29,9,47,45,46",0.7022776346230469,"0,2,3,6,7,9,10,11,12,13,16,17,18,19,20,22,28,29,30,31,34,35,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,60,63,64,66,67,68,69",0.7037702025688588,"0,1,2,3,6,7,8,9,10,11,12,13,16,18,19,20,28,29,31,35,39,40,41,42,43,45,46,47,48,49,50,53,60,63,64,67,68",0.6989131642511223,
86,0.7001767421134115,"2,7,9,13,29,38,42,43,45,49,68",0.700539253298601,"2,3,4,9,13,29,38,42,43,45,49,68",0.6976785672067797,"2,7,9,13,29,38,42,43,45,49",0.7005062977363111,"2,3,4,9,13,29,38,42,43,45,49,68",0.70095764565463,"2,42,13,9,7,29,45,68,49,43,38,39,30,35,40,64,0,31,34,44,4,37,36,41,3,60,26,15,28,5,48",0.7003228928679148,"2,42,13,9,7,29,45,68,49,43,38,39",0.7056831867169024,"0,2,3,4,7,9,13,14,28,29,30,31,34,35,38,39,40,41,42,43,44,45,48,49,50,60,64,68",0.7060041452365958,"0,2,3,4,7,9,11,12,13,14,18,29,30,31,34,35,38,39,40,41,42,43,44,45,48,49,50,60,68",0.7027845300859209,
87,0.7066166912241326,"2,3,7,9,13,29,42,45,46,49",0.7054162084918283,"0,2,3,7,13,29,42,45,49",0.7066001158162541,"2,3,13,29,42",0.7065623803132117,"2,3,7,13,29,42,45,49",0.7088392065528583,"2,42,13,7,49,29,9,46,45,0,68,10,35,30,19,3,43,39,31,50,34,40,11,16,18,23,28,61",0.7053358001302051,"2,42,13,7,49,29,9,46,45,0,68,10",0.7110095269801794,"0,2,3,7,9,10,11,13,16,17,19,23,28,29,30,31,35,38,39,40,41,42,43,45,46,47,48,49,50,68",0.7124540561433752,"0,2,3,5,7,8,9,10,13,16,17,18,19,23,29,30,31,35,38,39,40,41,42,43,45,46,47,48,49,50,60,64,68",0.7120491929892373,
88,0.6965691616711164,"2,3,7,9,13,29,42,49",0.6955511066464145,"2,3,7,9,13,29,31,42,49",0.6917928993326162,"2,9,13,29,42",0.6935959863198412,"2,3,9,13,29,42",0.6898917721545966,"2,42,13,29,9,7,49,68,31,60,44,3,0,30,46,67,19,40,38,37,43,39,64,11,36,45,52,5,53,6,56,55,34,66,25",0.6945955700042484,"2,42,13,29,9,7,49,68,31,60,44,3,0,30",0.6964878167302033,"0,2,3,5,6,7,9,10,11,12,13,16,19,21,24,25,28,29,30,31,34,35,38,39,40,42,43,44,45,46,47,48,49,50,52,53,55,56,60,63,64,66,67,68,69",0.6978820477043676,"0,2,3,5,6,7,9,10,11,13,15,17,19,29,30,31,35,38,39,40,42,43,44,45,46,49,50,51,52,53,60,64,67,68,69",0.6895251870933641,
89,0.700905976872799,"2,7,10,13,29,39,42,45,68",0.702080797378474,"2,3,7,13,29,39,42,45,68",0.7004009667336949,"2,7,10,13,29,39,42,45",0.702092821429405,"2,3,7,13,29,39,42,45,68",0.7016627847843415,"2,42,13,7,29,39,45,68,23,9,49,10,46,19,0,38,44,30,37,31,5,43,40,17,41,6,67,69,34,36",0.698784792829139,"2,42,13,7,29,39,45,68,23,9,49,10",0.7049976906749241,"0,2,3,5,6,7,9,10,13,14,15,16,17,18,19,23,29,30,31,33,35,36,38,39,40,41,42,43,44,45,46,49,50,52,53,54,60,67,68,69",0.7052622197954073,"0,2,3,4,5,7,9,10,13,14,17,18,19,23,25,26,29,30,31,35,36,38,39,40,41,42,43,44,45,46,49,50,51,53,55,57,58,60,61,62,65,67,68,70",0.7035385367295854,
90,0.6990341470242863,"2,7,9,10,13,29,42,43,44,45,46,49",0.7008627070606525,"2,3,7,9,13,29,42,43,45,46,49,50",0.6991674095670487,"2,9,13,42",0.701970518225155,"2,3,7,9,13,29,42,43,45,46,49",0.7031893225950353,"2,42,13,7,9,29,46,45,40,43,49,30,66,39,44,35,68,0,34,36,31,69,47,19,3,18,10",0.698012938838502,"2,42,13,7,9,29,46,45,40,43,49,30,66,39",0.7068874465270791,"0,2,3,7,9,10,13,29,30,35,38,39,40,42,43,44,45,46,47,49,50,60,66,68,69",0.7070641872999737,"0,2,3,7,9,10,11,13,23,29,30,31,35,38,39,40,42,43,44,45,46,47,49,50,56,60,63,64,66,68",0.7053759594372857,
91,0.7009424019729852,"2,7,13,29,42,46,50",0.70203471213787,"0,2,3,7,13,29,42,46,50,60",0.7021509834347182,"2,13,42",0.7020908921528608,"0,2,3,7,13,29,42,46,50,60",0.7033986775651154,"2,42,13,7,29,46,9,0,45,67,50,68,30,49,35,31,5,60,6,34,11,20,40,36,43,39,17,52,14,61,47",0.7043964061857753,"2,42,13,7,29,46,9,0,45,67,50,68,30,49",0.7072402527673991,"0,2,3,5,6,7,9,10,11,13,17,20,21,29,30,31,35,39,40,41,42,43,45,46,47,49,50,52,60,67,68",0.7080530851361904,"0,2,3,5,6,7,9,10,11,13,14,17,18,20,21,29,30,31,35,40,41,42,43,45,46,47,49,50,53,60,61,64,67,68",0.7043302702187607,
92,0.703749557710746,"2,7,9,13,29,40,42,46,49",0.7054286741311259,"2,3,7,9,13,29,40,42,45,49",0.7022916738476387,"2,9,13,29,42,49",0.7064289688733881,"2,3,9,13,29,42,45,49",0.7055032389993957,"2,42,13,49,9,7,29,46,40,68,45,10,30,0,67,31,50,64,34,69,39,35,17,52,6,36,19,3,41,43,28,18,60,63",0.704226491490812,"2,42,13,49,9,7,29,46,40,68,45,10",0.7083409246465731,"0,2,3,4,5,6,7,9,10,11,13,17,18,19,20,22,23,27,28,29,30,31,34,35,36,39,40,41,42,43,44,45,46,48,49,50,52,55,60,63,64,67,68,69",0.7075826140051112,"0,2,3,6,7,9,10,13,17,29,30,31,39,40,41,42,43,44,45,46,49,60,64,67,68",0.7052732134152047,
93,0.70578283094193,"2,3,7,9,13,29,42,45,60",0.7046909573787684,"0,2,3,7,9,13,29,42,45,60",0.6990679852070567,"2,3,13,29,42",0.7047460810926368,"0,2,3,7,9,13,29,42,45,60",0.7077043870702382,"2,42,13,29,7,9,60,0,45,46,68,44,40,30,3,35,10,49,18,31,34,43,63,19,67,28,5,36,41",0.7054209932303839,"2,42,13,29,7,9,60,0,45,46,68",0.7090902537740309,"0,2,3,5,7,9,10,13,17,27,28,29,30,31,35,40,41,42,43,44,45,46,47,49,60,63,66,68",0.7102125160512481,"0,2,3,7,8,9,10,13,14,17,19,21,27,28,29,30,31,35,38,39,40,41,42,43,44,45,46,49,57,60,63,68",,
