simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
58,0.6533070662705077,"2,4",0.6387417646298927,4,0.6387417646298927,4,0.655373982689575,"2,4",0.6977457692804547,"4,5,2",0.6977457692804547,"4,5,2",0.6969383800542566,"0,1,2,3,4,5,6,7,8",0.711729750678207,"0,1,2,3,4,5,6,7,8",0.6953236016018602,
59,0.6504165805962955,"2,4,5",0.6504165805962955,"2,4,5",0.6585071954830269,"2,4,5",0.6589547614129312,"2,4,5",0.654616814707705,"4,5,2,6,3",0.6497968739241203,"4,5,2",0.6633615644150658,"0,1,2,3,4,5,6,7,8",0.6736211526544102,"0,1,2,3,4,5,6,7,8",0.6673552296357502,
60,0.7150652828925343,"4,5",0.7169400736524941,"4,5",0.6772681620354871,"2,4",0.7100435219283562,"4,5",0.708938734516237,"4,5,2",0.708938734516237,"4,5,2",0.7170405088717777,"2,4,5,6",0.7139604954804152,"2,4,5,6",0.7059256779377302,
61,0.678872584821725,"4,5,8",0.6784078082464644,"4,5,8",0.7048668747095146,"4,5",0.7055308412456012,"4,5",0.6881017196733284,"4,5,8,7,2",0.6780758249784211,"4,5,8,7",0.6901600159351968,"2,3,4,5,6,7,8",0.6877365380784809,"0,1,2,3,4,5,6,7,8",0.6881349180001328,
62,0.6350255226907209,"4,5",0.6355849241311796,"4,5",0.648241381721558,"2,4,5",0.6478218306412139,"2,4,5",0.6415285644360534,"4,5,2,6",0.6367736521921544,"4,5,2",0.6491504090623034,"2,4,5,6,7,8",0.6763163415145794,"0,1,2,3,4,5,6,7,8",0.6505838752534788,
63,0.6746932006633499,"2,4,5",0.6746268656716418,"2,4,5",0.6811940298507463,"2,4,5",0.6801326699834163,"2,4,5",0.6741625207296849,"4,5,2",0.6741625207296849,"4,5,2",0.6807296849087894,"2,4,5,6",0.6801990049751244,"2,4,5",0.6927363184079602,
64,0.6507394389548379,"4,5,8",0.6488825518933616,"4,5,8",0.6662908680947013,"4,5",0.6588633198487963,"4,5,8",0.6519331520657868,"4,5,8,7,0",0.6506731215597852,"4,5,8",0.6559453544664765,"0,1,2,3,4,5,6,7,8",0.6546190065654222,"0,1,2,3,4,5,6,7,8",0.6574043371576365,
65,0.679504220110321,"4,5",0.6765468199641125,"4,5,6",0.680600784209477,"4,5",0.6856848541237456,"2,4,5",0.6642520103675151,"4,5,2,6,1",0.6794377616800691,"4,5",0.6746859839170599,"1,2,4,5,6,7,8",0.6858510001993753,"0,1,2,3,4,5,6,7,8",0.6700338937994285,
66,0.6649010593643814,"4,5,8",0.6655673262709041,"4,5,8",0.6813578519554934,"4,5",0.667466186954494,"4,5,8",0.6778599506962489,"4,5,8,7",0.66456792591112,"4,5,8",0.6761276567392898,"2,4,5,6,8",0.6731294556599374,"0,2,4,5,6,8",0.6911186621360517,
67,0.6590038314176245,"2,4,5",0.6580129475492139,"2,4,5",0.631622407187211,"2,4",0.6637600739859955,"2,4,5",0.6519355264896287,"4,5,2,6,0,3",0.6590038314176245,"4,5,2",0.6583432421720175,"0,2,3,4,5,6,7,8",0.6652794292508918,"0,2,3,4,5,6,7,8",0.6580790064737746,
68,0.7051611627447103,"4,5",0.7046997561136379,"4,5",0.6505833498121416,4,0.6933952936523631,"4,5",0.6868367279678333,"4,5,2,6,3",0.7055236965262672,"4,5,2",0.6803770351328192,"2,3,4,5,6,7,8",0.6849251862105332,"0,1,2,3,4,5,6,7,8",0.673719596598774,
69,0.6694099166780495,"4,5",0.6559213222237399,"4,5,6",0.6836156262805627,"2,4,5",0.6796885671356372,"2,4,5,6",0.6644584073214042,"5,4,2,6",0.6729271957382871,"5,4,2",0.6704343668897692,"2,4,5,6,8",0.6809520557300915,"2,4,5,6,8",0.6730637890998498,
70,0.6508471184631803,"4,5",0.6507137139807898,"4,5",0.6543489861259338,"2,4,5",0.6468116328708644,"4,5",0.6440101387406617,"4,5,2,6,8,7",0.6464447705442903,"4,5,2",0.6447438633938101,"0,2,3,4,5,6,7,8",0.6548826040554963,"0,2,3,4,5,6,7,8",0.6433431163287087,
71,0.5815986073837673,"2,4,5,6",0.5748531225067092,"2,4,5,6",0.6254079930369189,"2,4,5",0.6231594980778995,"2,4,5,6",0.5586784652208602,"4,5,2,6,0,3,7,8",0.5812359469065062,"4,5,2,6",0.5606730978457968,"0,1,2,3,4,5,6,7,8",0.6063683179807065,"0,1,2,3,4,5,6,7,8",0.5602379052730834,
72,0.6491016727472981,"2,4,5",0.6460039925655675,"2,4,5",0.630412335650857,"2,4",0.653748193019894,"2,4,5",0.6220830178288704,"4,5,2,6,3,0,1",0.6464170165897983,"4,5,2",0.635368623941626,"0,1,2,3,4,5,6,7,8",0.6366076960143182,"0,1,2,3,4,5,6,7,8",0.6339918771941901,
73,0.6973232900665814,"4,5",0.6966507498823055,"4,5",0.6960118367072432,"4,5",0.6964489878270227,"4,5",0.6951375344676844,"4,5,6,2",0.6970542739928711,"4,5",0.6928508978411461,"0,2,3,4,5,6,7,8",0.6913713094357388,"0,1,2,3,4,5,6,7,8",0.6933216759701392,
74,0.728444382686028,"4,5",0.7288612519974987,"4,5",0.7154866949211423,"4,5",0.7183353018828598,"4,5",0.7248315153199472,"4,5,2",0.7248315153199472,"4,5,2",0.71604252066977,"2,4,5,8",0.7105884805113597,"2,4,5",0.7313277287570347,
75,0.6618190528332877,"4,5",0.6616137421297563,"4,5",0.6636668491650698,"2,4,5",0.6578154941144265,"4,5",0.6606898439638653,"4,5,2,8,7",0.6657541746509718,"4,5,2",0.6671229126745141,"0,1,2,3,4,5,6,7,8",0.6517930468108404,"0,2,3,4,5,8",0.6664385436627429,
76,0.6639589852853053,"2,4,5",0.6648911378920035,"2,4,5",0.6626273387043079,"4,5",0.6703508888740928,"2,4,5",0.6655236700179772,"4,5,2,8,7",0.6643584792596045,"4,5,2",0.6587655636194154,"0,1,2,3,4,5,6,7,8",0.6653572141953525,"0,1,2,3,4,5,6,7,8",0.6581663226579666,
77,0.6456785838250607,"4,5",0.6542172856646997,"4,5,6",0.6422075668170774,"4,5",0.6386671294689344,"4,5",0.659805623047553,"4,5,2,6",0.6456785838250607,"4,5",0.6607427976397084,"2,4,5,6,8",0.6653245400902464,"0,2,4,5,6,7,8",0.6790003471017008,
78,0.6744658190774147,"4,5",0.676729015509552,"4,5",0.6369899487452573,4,0.6720362111429142,"4,5",0.6806896092657925,"4,5,2",0.6751314650868668,"4,5",0.6848831791253411,"0,2,4,5,6,7,8",0.686680423350862,"0,1,2,4,5,6,7,8",0.6916062038208081,
79,0.6889071757735352,"2,4,5",0.691211323238973,"2,4,5",0.6613890717577353,4,0.6972021066491113,"2,4,5",0.6943383805134957,"4,5,2,8,7",0.6911454904542462,"4,5,2",0.6976300197498354,"0,1,2,4,5,6,7,8",0.7036866359447005,"1,2,4,5,8",0.7008558262014484,
80,0.6629018802541231,"4,5",0.6608483603927356,"4,5",0.6670410062247321,"2,4,5",0.6665917987550536,"2,4,5",0.6674260411987423,"4,5,2,6",0.6655650388243599,"4,5,2",0.6795546428800616,"2,4,5,6,8",0.6683886286337676,"2,4,5,6",0.676570621831483,
81,0.6744147268725406,"2,4,5",0.6736143533649036,"2,4,5",0.6622757286733809,"4,5",0.6802507836990596,"2,4,5",0.6744814246648436,"4,5,2",0.6744814246648436,"4,5,2",0.6794837590875742,"2,4,5",0.6791502701260588,"2,4,5",0.6915894083905822,
82,0.6623954680334502,"4,5,6",0.6638791475586728,"4,5,6",0.6645872673320744,"2,4,5",0.6664755867278123,"2,4,5,6",0.6731521445913138,"4,5,6,2",0.6632047477744807,"4,5,6",0.6794240625843,"2,3,4,5,6,7,8",0.6350148367952523,"0,1,2,3,4,5,6,7,8",0.6770973833288373,
83,0.6735512332063365,"4,5,8",0.674587260209879,"2,4,5,8",0.6898937236815721,"2,4,5",0.6751219838246106,"2,4,5,8",0.6884232337410601,"4,5,2,8,7",0.6783637457389212,"4,5,2",0.6890582180335539,"2,4,5,6,8",0.6946059755363946,"0,2,4,5,6,8",0.694806496891919,
84,0.6489782465392222,"2,4,5",0.6511865524060646,"2,4,5,6",0.659129861568886,"2,4,5",0.659228740936058,"2,4,5",0.6268951878707977,"4,5,2,3,6",0.617699406723797,"4,5,2,3",0.6465392221489783,"0,1,2,3,4,5,6,7,8",0.6618984838497034,"2,3,4,5,6,8",0.6459459459459459,
85,0.6634387485609806,"2,4,5",0.6644545269858468,"2,4,5",0.6616103473962213,"2,4,5",0.6590370420532268,"2,4,5",0.6653348682873976,"4,5,2,6",0.6640482156159003,"4,5,2",0.6612040360262748,"0,1,2,3,4,5,6,7,8",0.6659443353423173,"0,1,2,3,4,5,6,7,8",0.6591724791765423,
86,0.6843859412873687,"4,5",0.6841166172906006,"4,5",0.6766765418798815,"4,5",0.6778884998653381,"4,5",0.7013870185833557,"4,5,2,8,7",0.6841839482897926,"4,5",0.6904120657150552,"2,4,5,8",0.6814570428225155,"2,4,5,8",0.7085241044977107,
87,0.6728320600455703,"4,5,8",0.6729660903364161,"4,5,8",0.6945449671625787,"4,5",0.6778581959522852,"4,5,8",0.6828843318590001,"4,5,8,7,2",0.675981771880445,"4,5,8,7",0.6924674976544699,"1,2,3,4,5,6,7,8",0.6806728320600456,"0,1,2,3,4,5,6,7,8",0.6891837555287494,
