simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
79,0.8164705882352942,"6,7,9,10,16",0.8409411764705882,"1,3,6,7,9,10,16",0.7936470588235294,"3,6,7,16",0.8303529411764706,"3,6,7,9,10,16",0.8442352941176471,"7,16,9,10,6,1,12",0.8409411764705882,"7,16,9,10,6,1",0.8451764705882353,"0,1,3,5,6,7,8,9,10,12,13,14,15,16",0.8541176470588235,"1,2,3,5,6,7,9,10,12,13,15,16",0.8409411764705882,
80,0.840887174541948,"1,6,7,9,10,15,16",0.8418514946962391,"1,3,6,7,9,10,15,16",0.8230472516875603,"6,7,9,10",0.8404050144648023,"1,3,6,7,9,10,15,16",0.8471552555448408,"3,9,7,1,16,5",0.8413693346190936,"3,9,7,1,16",0.8437801350048216,"1,2,3,5,6,7,9,10,11,12,15,16",0.8510125361620058,"1,2,3,5,6,7,9,10,11,12,14,15,16",0.819672131147541,
81,0.7565217391304347,"7,9,10,16",0.7729977116704806,"1,3,6,7,9,10,16",0.7512585812356979,"1,7,9",0.7622425629290618,"3,6,7,9,10,16",0.7762013729977116,"7,9,16,10,1,12,6,8",0.7725400457665904,"7,9,16,10,1",0.7775743707093822,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16",0.7729977116704806,"1,3,4,6,7,9,10,12,15,16",0.7780320366132724,
82,0.8115873763542157,"1,7,9,16",0.8365520489872822,"1,3,6,7,9,10,16",0.7906264719736222,"1,7",0.8313707018370231,"1,3,7,9,10,15,16",0.8191238813000471,"7,16,1,9,15,12,11",0.8111163447951013,"7,16,1,9",0.8327837965143665,"1,3,6,7,9,10,11,15,16",0.8464437117286858,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",0.8299576071596797,
83,0.815,"1,6,7,10,16",0.808,"1,6,7,9,10,15,16",0.8085,"1,6,7",0.807,"1,6,7,9,10,15,16",0.8005,"7,16,1,6,12,15,9",0.7815,"7,16,1,6,12",0.8265,"1,2,4,6,7,8,9,10,12,13,14,15,16",0.83,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",0.8155,
84,0.8616813294232649,"1,6,7,9,10,16",0.8626588465298143,"1,6,7,9,10,16",0.8225806451612904,"6,7",0.8602150537634409,"1,6,7,9,10,16",0.8641251221896383,"7,16,1,6,10,9",0.8577712609970675,"7,16,1,6,10",0.8704789833822092,"1,6,7,8,9,10,12,16",0.8602150537634409,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16",0.8020527859237536,
85,0.7791441219872111,"1,7,9,10,15,16",0.778652238071815,"1,4,6,7,9,10,15,16",0.7579931136251845,"1,5,7,9",0.764387604525332,"1,4,6,7,9,10,15,16",0.794392523364486,"7,16,10,9,1,15,8,13,6",0.778160354156419,"7,16,10,9,1,15",0.7816035415641909,"1,4,5,6,7,9,10,15,16",0.7747171667486473,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",0.7909493359567142,
86,0.8687258687258688,"6,7,9,10,16",0.8648648648648649,"1,3,6,7,9,10,12,16",0.7977799227799228,"7,10",0.8552123552123552,"1,3,6,7,9,10,12,16",0.846042471042471,"7,10,9,16,6,12,1,14",0.8677606177606177,"7,10,9,16,6",0.8228764478764479,"6,7,10",0.809604247104247,"7,10",0.8484555984555985,
87,0.797514241325738,"1,6,7,10,16",0.8083894355256344,"1,4,6,7,9,10,16",0.7532366649404454,"6,7",0.8068358363542206,"1,4,6,7,9,10,16",0.787674779906784,"7,16,10,6,1,12",0.787674779906784,"7,16,10,6,1,12",0.8171931641636457,"1,4,5,6,7,9,10,12,15,16",0.8342827550491974,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,
88,0.853112840466926,"1,3,7,10,16",0.8497081712062257,"1,3,6,7,9,10,15,16",0.831955252918288,"1,3,7,9,10,15",0.8482490272373541,"1,3,6,7,9,10,15,16",0.8224708171206225,"7,10,1,3,16,14,12,15,0",0.8302529182879378,"7,10,1,3,16,14",0.8472762645914397,"1,3,6,7,9,10,15,16",0.8618677042801557,"1,3,4,6,7,8,9,10,11,12,13,14,15,16",0.8399805447470817,
89,0.8325947808961103,"6,7,10,16",0.8611521418020679,"1,3,6,7,9,10,12,15,16",0.828902018709995,"6,7,16",0.8663220088626292,"1,3,4,6,7,9,10,12,15,16",0.8257016248153619,"16,7,6,12,1,8,15",0.8193008370260956,"16,7,6,12,1,8",0.8419497784342689,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",0.8690300344657804,"1,2,3,4,6,7,8,9,10,11,12,13,15,16",0.8404726735598228,
90,0.8125290023201857,"1,6,7,10,16",0.7832946635730859,"1,3,4,6,7,10,15,16",0.7937354988399072,"1,4,7,16",0.7860788863109048,"1,3,4,6,7,10,15,16",0.7893271461716937,"7,16,6,10,1,12,4,15",0.8125290023201857,"7,16,6,10,1",0.8,"1,2,3,4,5,6,7,9,10,11,12,15,16",0.8083526682134571,"1,2,3,4,5,6,7,10,11,12,15,16",,
91,0.8099808061420346,"2,6,7,9,10,15,16",0.814299424184261,"1,2,6,7,9,10,15,16",0.7833493282149712,"2,6,7,16",0.8178982725527831,"1,2,5,6,7,9,10,15,16",0.7994241842610365,"7,16,9,10,6,1,12,2,13,15",0.8334932821497121,"7,16,9,10,6,1",0.8066218809980806,"0,1,2,5,6,7,8,9,10,11,12,13,15,16",0.8114203454894434,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,
92,0.8228228228228228,"7,9,10,16",0.8213213213213213,"7,9,10,16",0.8253253253253253,"7,9,10",0.82007007007007,"7,9,10,16",0.8523523523523524,"7,16,9,10,1,12,6",0.8223223223223223,"7,16,9,10",0.8508508508508509,"1,6,7,9,10,12,15,16",0.8563563563563563,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16",0.8523523523523524,
93,0.8119981105337742,"6,7,9,10,15,16",0.814832309872461,"3,6,7,9,10,15,16",0.8266414737836562,"3,7,9,10,16",0.8377420878601795,"1,3,6,7,9,10,12,15,16",0.7779877184695324,"7,16,9,10,15,2,12,0,6,13,14",0.8072744449692961,"7,16,9,10,15",0.8039678790741616,"0,1,2,3,6,7,8,9,10,11,12,13,14,15,16",0.8247520075578649,"0,1,2,3,5,6,7,8,9,10,11,12,13,15,16",0.7926310817194142,
94,0.8358744394618834,"7,9,10,16",0.8538116591928251,"1,6,7,9,10,15,16",0.8275784753363229,"1,7,9,10,16",0.8450672645739911,"1,6,7,9,10,15,16",0.820627802690583,"7,16,10,9,15,12,1,6,14,2",0.8358744394618834,"7,16,10,9",0.8479820627802691,"1,6,7,9,10,12,15,16",0.8497757847533632,"1,2,5,6,7,9,10,12,15,16",0.8085201793721973,
95,0.8011310084825636,"1,6,7,9,10,15,16",0.799717247879359,"1,3,6,7,9,10,15,16",0.76248821866164,"1,7,9,15",0.7938265786993403,"1,3,6,7,9,10,15,16",0.7860508953817154,"7,9,16,15,1,12,10,13",0.7709707822808671,"7,9,16,15,1,12",0.799717247879359,"1,3,4,6,7,9,10,12,15,16",0.7888784165881244,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",0.7469368520263902,
96,0.811073336571151,"1,6,7,10,15,16",0.8105876639145216,"1,6,7,9,10,15,16",0.8139873725109277,"1,7,10,16",0.8071879553181156,"1,6,7,9,10,15,16",0.7969888295288975,"7,10,16,6,1,15,12,0,2,9",0.811073336571151,"7,10,16,6,1,15",0.818844099077222,"1,2,5,6,7,9,10,12,15,16",0.8246721709567751,"1,2,5,6,7,9,10,12,15,16",0.7935891209324915,
97,0.8413793103448276,"6,7,9,10,15,16",0.8524137931034482,"1,6,7,9,10,15,16",0.8220689655172414,"6,9,10",0.8666666666666667,"1,6,7,9,10,15,16",0.8533333333333334,"7,16,6,10,1,9,2,15",0.8570114942528736,"7,16,6,10,1,9",0.856551724137931,"1,2,6,7,9,10,12,15,16",0.8570114942528736,"1,2,6,7,9,10,15,16",0.824367816091954,
98,0.8508189464364763,"1,6,7,9,10,15,16",0.851261620185923,"1,6,7,9,10,15,16",0.8432934926958832,"6,7,9,10,15,16",0.849269588313413,"1,6,7,9,10,15,16",0.8472775564409031,"7,16,6,1,10,15,12,9",0.8441788401947764,"7,16,6,1,10,15,12",0.8543603364320496,"1,2,5,6,7,8,9,10,11,12,13,15,16",0.8530323151837096,"1,2,4,5,6,7,9,10,11,12,13,15,16",0.8397521027003099,
99,0.8597242035187826,"1,6,7,9,10,16",0.8440323347598668,"1,3,4,6,7,9,10,16",0.7922016167379934,"1,6,7",0.8502139800285307,"1,3,4,6,7,9,10,15,16",0.8597242035187826,"7,16,1,10,9,15,12,0",0.8606752258678079,"7,16,1,10,9",0.8578221588207323,"0,1,2,3,4,6,7,8,9,10,12,15,16",0.8606752258678079,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",0.8487874465049928,
